name	time	frame	height	yaw	pitch	roll	lat	lon	east	north	zone.number	zone.letter	image_x	image_y	start_east	start_north	end_east	end_north	heading	project	length	flukeprint_width	fluke_span	body_length	age_class
20240726011A	06:54.7	9941	85.3	21.1	-89.9	0	-21.04561284	55.2090844	313906.2312	7671759.574	40	K	647.655	528.705	313907.913	7671759.474	313904.5494	7671759.675	-86.57384939	Jul-26th-2024-12-52PM-Flight-Airdata	NA	3.369626708	NA	NA	adult
20240726011A	05:14.3	6932	93.8	21.1	-90	0	-21.04576316	55.20946615	313946.0956	7671743.377	40	K	1359.505	680.98	313946.6796	7671737.737	313945.5116	7671749.018	-5.911475895	Jul-26th-2024-12-52PM-Flight-Airdata	11.34066305	NA	NA	11.34066305	adult
20240726011A	05:47.3	7921	82.7	21.1	-90	0	-21.04571193	55.20948336	313947.8204	7671749.069	40	K	1442.845	556.725	313949.591	7671743.825	313946.0499	7671754.314	-18.65501207	Jul-26th-2024-12-52PM-Flight-Airdata	11.07047461	NA	NA	11.07047461	adult
20240726011A	06:28.1	9141	46.1	21.1	-84.9	0	-21.04565871	55.20950216	313949.7077	7671754.984	40	K	1486.465	346.96	313949.9539	7671749.399	313949.4615	7671760.569	-2.524285625	Jul-26th-2024-12-52PM-Flight-Airdata	11.18117908	NA	NA	11.18117908	adult
20240726011A	05:16.3	6994	93.9	21.1	-90	0	-21.04577928	55.20947137	313946.6582	7671741.599	40	K	1370.415	544.88	313947.0876	7671736.007	313946.2287	7671747.19	-4.392236203	Jul-26th-2024-12-52PM-Flight-Airdata	11.2155218	NA	NA	11.2155218	adult
20240726011A	06:35.3	9359	49.9	21.1	-84.9	0	-21.0457008	55.20953745	313953.4277	7671750.365	40	K	1564.38	432.975	313952.8832	7671744.72	313953.9723	7671756.01	5.509952345	Jul-26th-2024-12-52PM-Flight-Airdata	11.34227861	NA	NA	11.34227861	adult
20240726011A	06:32.1	9265	46.5	21.1	-84.9	0	-21.04568239	55.20951592	313951.1673	7671752.378	40	K	1538.265	393.82	313950.8814	7671746.747	313951.4532	7671758.008	2.907064944	Jul-26th-2024-12-52PM-Flight-Airdata	11.27530489	NA	NA	11.27530489	adult
20240726011A	05:13.9	6918	93.7	21.1	-90	0	-21.04571629	55.20946194	313945.5996	7671748.562	40	K	1330.98	653.6	313947.3202	7671748.701	313943.879	7671748.423	-94.62724014	Jul-26th-2024-12-52PM-Flight-Airdata	3.45245868	NA	3.45245868	NA	adult
20240726011A	05:17.1	7014	93.9	21.1	-89.9	0	-21.04574975	55.209463	313945.7509	7671744.859	40	K	1343.865	482.36	313947.5827	7671744.951	313943.9191	7671744.766	-92.89104532	Jul-26th-2024-12-52PM-Flight-Airdata	3.668236222	NA	3.668236222	NA	adult
20240726011A	05:36.9	7611	92.9	21.1	-90	0	-21.04570069	55.20948323	313947.7927	7671750.314	40	K	1378.18	435.035	313949.4148	7671751.134	313946.1707	7671749.494	-116.8144318	Jul-26th-2024-12-52PM-Flight-Airdata	3.634932716	NA	3.634932716	NA	adult
20240726011A	05:38.7	7664	91.5	21.1	-89.9	0	-21.0457144	55.20947173	313946.6146	7671748.783	40	K	1378.885	473.545	313948.0972	7671749.683	313945.1319	7671747.882	-121.2684239	Jul-26th-2024-12-52PM-Flight-Airdata	3.469195427	NA	3.469195427	NA	adult
20240726011A	05:40.3	7711	90.5	21.1	-89.9	0	-21.04568813	55.20947683	313947.1118	7671751.697	40	K	1378.185	486.475	313948.4725	7671752.875	313945.751	7671750.519	-130.8852498	Jul-26th-2024-12-52PM-Flight-Airdata	3.599805308	NA	3.599805308	NA	adult
20240726011A	05:46.1	7884	84.6	21.1	-90	0	-21.04566685	55.20947746	313947.1512	7671754.054	40	K	1398.99	499.97	313948.8925	7671754.048	313945.4099	7671754.059	-89.81652013	Jul-26th-2024-12-52PM-Flight-Airdata	3.482661649	NA	3.482661649	NA	adult
