name,time,frame,height,yaw,pitch,roll,lat,lon,east,north,zone.number,zone.letter,image_x,image_y,start_east,start_north,end_east,end_north,heading,project,length,flukeprint_width,fluke_span,body_length,age_class
20240811002A,2024-08-11 05:27:20,1380,80.1,121.8,-90,0,-20.9701765482866,55.1755131069043,310321.594297111,7680071.94355773,40,K,130.625,742.135,310323.489344287,7680072.43157141,310319.699249934,7680071.45554405,-104.4410718749,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.91375070963749,NA,NA,adult
20240811002A,2024-08-11 05:27:24,1501,80.1,121.8,-89.9,0,-20.9704409938292,55.175530575075,310323.744562214,7680042.68633946,40,K,268.545,495.48,310325.714018874,7680042.88808019,310321.775105554,7680042.48459874,-95.8486771735649,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.95952464686023,NA,NA,adult
20240811002A,2024-08-11 05:27:36.400000,1872,80,121.8,-89.9,0,-20.9705429902159,55.1754791864811,310318.529466056,7680031.33295042,40,K,153.975,641.435,310320.251815238,7680031.54712399,310316.807116874,7680031.11877685,-97.0883261932167,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.47122861520354,NA,NA,adult
20240811002A,2024-08-11 05:27:36.400000,1872,80,121.8,-89.9,0,-20.9706322579593,55.1754830879481,310319.047847707,7680021.45435164,40,K,269.275,566.275,310320.739542229,7680021.75104975,310317.356153185,7680021.15765352,-99.9476564699013,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.43503137054214,NA,NA,adult
20240811002A,2024-08-11 05:27:54.800000,2421,80.1,134.5,-89.9,0,-20.970927928198,55.1754447860509,310315.438091199,7679988.67399121,40,K,231.325,575.755,310317.427642071,7679988.63143194,310313.448540328,7679988.71655047,-88.7745504361252,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.98001204033325,NA,NA,adult
20240811002A,2024-08-11 05:28:32.200000,3542,80.1,124.9,-89.9,0,-20.9712636927797,55.1752707045239,310297.75948954,7679951.29362012,40,K,226.945,671.35,310299.769536937,7679951.1629591,310295.749442144,7679951.42428114,-86.2807806854352,Aug-11th-2024-09-23AM-Flight-Airdata,NA,4.02857932190214,NA,NA,adult
20240811002A,2024-08-11 05:33:09,11840,79.5,126.3,-90,0,-20.975388232032,55.1754654371442,310323.21605265,7679494.87850442,40,K,447.32,808.545,310325.166233308,7679495.29946112,310321.265871991,7679494.45754772,-102.180708091959,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.99019254786667,NA,NA,adult
20240811002A,2024-08-11 05:33:30.800000,12494,77.1,113.7,-89.9,0,-20.975934043693,55.1754562686742,310322.951756703,7679434.43839304,40,K,443.675,723.89,310324.861369831,7679434.91393798,310321.042143574,7679433.9628481,-103.98375382708,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.93586853975461,NA,NA,adult
20240811002A,2024-08-11 05:33:35.400000,12628,77,113.7,-89.9,0,-20.9759951459296,55.1754766367334,310325.146870169,7679427.69764411,40,K,520.295,660.405,310326.918509427,7679428.28403013,310323.375230911,7679427.11125808,-108.313769245341,Aug-11th-2024-09-23AM-Flight-Airdata,NA,3.73232058390139,NA,NA,adult
20240811002A,2024-08-11 05:33:58.600000,13324,76.9,113.5,-89.9,0,-20.9763002528667,55.1754177570519,310319.40948859,7679393.84807498,40,K,178.055,768.4,310321.369260006,7679394.25863447,310317.449717174,7679393.43751548,-101.831985092196,Aug-11th-2024-09-23AM-Flight-Airdata,NA,4.00462887230041,NA,NA,adult
20240811001A,2024-08-11 05:27:05.600000,950,80,124,-90,0,-20.9708672799662,55.1752078202051,310290.719826837,7679995.10766897,40,K,1838.555,461.19,310290.507090426,7679989.19708477,310290.932563249,7680001.01825317,2.06132571681103,Aug-11th-2024-09-23AM-Flight-Airdata,11.8288228269895,NA,NA,11.8288228269895,adult
20240811001A,2024-08-11 05:27:18.800000,1343,80.1,121.8,-89.9,0,-20.9710524775831,55.1751414411283,310284.050972135,7679974.52491563,40,K,1737.985,505.73,310283.308681024,7679968.77383026,310284.793263247,7679980.276001,7.35449191092296,Aug-11th-2024-09-23AM-Flight-Airdata,11.5975823385759,NA,NA,11.5975823385759,adult
20240811001A,2024-08-11 05:27:33.800000,1795,80,121.8,-89.9,0,-20.9712510546837,55.1750383632545,310273.582786256,7679952.4173377,40,K,1558.01,601.9,310272.762712547,7679946.81774704,310274.402859965,7679958.01692836,8.33187534248262,Aug-11th-2024-09-23AM-Flight-Airdata,11.3186459318423,NA,NA,11.3186459318423,adult
